DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
13-Oct-2018,58,52,40,19,26,56,38,1,Guinevere,"RUBY24020519;AQUA28283048,AQUA59019725,AQUA82519915,GOLD66391555,GOLD89358680,GREY00163726,GREY15386211,GREY40018239,GREY47164449,GREY50333534,LIME87147389,NAVY32626289,PINK02225989,PINK47733944,PINK82792298,RUBY55037318,TEAL10870497,TEAL21777884,TEAL33653583,TEAL48211421",2380
10-Oct-2018,54,10,56,50,49,53,4,4,Lancelot,"AQUA50242425;AQUA11678815,BLUE42568014,BLUE62214231,GREY40856564,GREY51459548,JADE22580440,LIME81888324,LIME89151177,NAVY14377447,PINK16080936,PINK60740050,PINK63252928,PINK95128526,PLUM03767183,PLUM38008519,ROSE58858671,ROSE72921182,RUBY75131006,RUBY78207412,TEAL00417203",2379
06-Oct-2018,37,32,39,30,23,26,5,3,Lancelot,"LIME89180849;AQUA07158889,AQUA64981389,BLUE46105357,GOLD00476447,GOLD39273046,GOLD51681905,GREY56165953,GREY67028234,GREY91772573,JADE52102980,LIME28319209,LIME42676948,NAVY86753535,PLUM89739929,PLUM91042031,ROSE88594278,TEAL15744921,TEAL54246141,TEAL62963808,TEAL89453454",2378
03-Oct-2018,45,25,3,11,5,27,18,2,Lancelot,"PLUM94457856;AQUA43862577,AQUA44544727,AQUA55349884,BLUE81227762,GOLD79315027,GREY48285948,GREY95360853,JADE92488115,LIME05826430,NAVY24269514,NAVY82796729,PINK56977513,PLUM70396439,PLUM74938706,ROSE33922734,ROSE53128600,ROSE53827059,ROSE98687907,RUBY27770224,RUBY59534478",2377
29-Sep-2018,17,58,44,54,36,40,27,4,Guinevere,"NAVY45642845;AQUA24541752,BLUE34378797,BLUE56373198,GOLD64494593,GOLD89085160,GREY24502382,GREY25942101,GREY93257056,GREY95193726,JADE24052520,LIME12784402,NAVY22623409,PLUM67161680,PLUM78570747,PLUM85600631,ROSE47658846,RUBY92745039,TEAL05450664,TEAL92896538,TEAL94241085",2376
26-Sep-2018,3,8,37,39,59,47,42,3,Lancelot,"GREY76484734;BLUE53882616,BLUE59454363,GOLD20369096,GREY33973285,JADE11589682,JADE19987274,JADE65066678,LIME76698184,LIME78175061,LIME94181330,NAVY84149417,NAVY87847074,PINK60500690,PINK70738443,PLUM12115568,PLUM96960520,ROSE10203498,RUBY64885682,RUBY65479326,TEAL55777940",2375
22-Sep-2018,16,20,18,55,5,25,36,4,Lancelot,"GOLD77725554;BLUE46481401,BLUE48499453,BLUE62048293,BLUE99835811,GREY02460162,GREY25904632,GREY34895302,GREY41609494,GREY77450140,JADE89107725,NAVY60049566,NAVY82159808,PLUM15894621,ROSE20371170,ROSE40473891,ROSE51427461,RUBY37407533,RUBY72167336,TEAL05337991,TEAL59183284",2374
19-Sep-2018,40,20,34,7,26,25,59,1,Lancelot,"BLUE41161179;AQUA15397099,AQUA60200534,BLUE14779850,GOLD31508113,JADE06212219,JADE97706011,LIME40818784,NAVY12609237,NAVY23273453,NAVY53325114,PINK18280837,PINK53736535,PLUM25823127,PLUM86901998,ROSE05993104,RUBY10531254,RUBY17020421,RUBY30553808,RUBY44865714,TEAL93805439",2373
15-Sep-2018,25,55,48,58,42,50,44,2,Lancelot,"AQUA74894992;AQUA50749902,AQUA66237854,AQUA87458547,BLUE02851735,BLUE40789870,GOLD17659283,GOLD56032471,GOLD81442938,JADE21963912,LIME08735427,LIME77726488,NAVY63941809,NAVY82257823,PINK28613164,PINK46880577,PINK85876351,ROSE28780764,RUBY24494119,RUBY73273083,TEAL42716141",2372
12-Sep-2018,13,56,54,12,14,11,36,3,Guinevere,"BLUE43878187;BLUE30300937,BLUE92049224,GOLD48028940,GOLD90181860,JADE07291106,JADE38770914,JADE45701482,JADE64928938,JADE74768084,NAVY50222173,NAVY58904129,NAVY88615055,PLUM43658121,ROSE34422668,ROSE58658664,ROSE83984471,RUBY08405532,RUBY47428026,RUBY61132702,TEAL49145716",2371
